ElementId,Category,Family,Type,Level,HostWallId,OriX,OriY,OriZ,Azimuth (°),Glass Area (m²)
383876,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383877,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383878,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383879,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383880,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383881,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383882,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383883,Windows,M_Sliding with Trim,,02,342320,0.1,-0.99,0.0,174.12,0.0
383884,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383885,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383886,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383887,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383888,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383889,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383890,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383891,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
383892,Windows,M_Sliding with Trim,,01,342320,0.1,-0.99,0.0,174.12,0.0
377821,Windows,Arched (1),,04,342325,0.1,-0.99,0.0,174.12,0.0
377822,Windows,WINDOW_W_SOLDIER_COURSE_8505,,05,342325,-0.1,0.99,-0.0,354.12,0.0
377823,Windows,WINDOW_W_SOLDIER_COURSE_8505,,05,342325,-0.1,0.99,-0.0,354.12,0.0
377824,Windows,Arched (1),,02,342325,0.1,-0.99,0.0,174.12,0.0
377825,Windows,M_Casement 3x3 with Trim,,01,342325,0.1,-0.99,0.0,174.12,0.0
377826,Windows,Arched (1),,03,342325,0.1,-0.99,0.0,174.12,0.0
377827,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
377828,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
377829,Windows,Arched (1),,02,342325,0.1,-0.99,0.0,174.12,0.0
377830,Windows,M_Casement 3x3 with Trim,,01,342325,0.1,-0.99,0.0,174.12,0.0
377831,Windows,Arched (1),,03,342325,0.1,-0.99,0.0,174.12,0.0
377832,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
377833,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
377834,Windows,Arched (1),,02,342325,0.1,-0.99,0.0,174.12,0.0
377835,Windows,M_Casement 3x3 with Trim,,01,342325,0.1,-0.99,0.0,174.12,0.0
377836,Windows,Arched (1),,03,342325,0.1,-0.99,0.0,174.12,0.0
377837,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
377838,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
377839,Windows,Arched (1),,02,342325,0.1,-0.99,0.0,174.12,0.0
377840,Windows,M_Casement 3x3 with Trim,,01,342325,0.1,-0.99,0.0,174.12,0.0
377841,Windows,Arched (1),,03,342325,0.1,-0.99,0.0,174.12,0.0
377842,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342325,-0.1,0.99,-0.0,354.12,0.0
